epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.4392,2.02733,2.27282,1.62794,0.22298,0.56361,0.29254,0.12179,2.00045,3.5488,1.78526,0.000412234,0.000412234,0.000412234
2,169.912,1.93653,1.75551,1.5164,0.34109,0.44927,0.35029,0.15525,2.04412,3.07316,1.7382,0.000815224,0.000815224,0.000815224
3,247.625,1.92472,1.71041,1.52205,0.35379,0.49411,0.3641,0.14618,2.08089,2.43075,1.84489,0.00120446,0.00120446,0.00120446
4,324.919,1.90064,1.67855,1.50389,0.33426,0.51096,0.38973,0.16678,1.99215,2.29981,1.62586,0.00118812,0.00118812,0.00118812
5,402.885,1.89122,1.6391,1.49271,0.35949,0.45041,0.31621,0.12587,2.28344,2.14267,1.86944,0.0011675,0.0011675,0.0011675
6,480.353,1.86041,1.60418,1.47888,0.42339,0.57798,0.4642,0.20671,1.94015,1.64708,1.62813,0.00114688,0.00114688,0.00114688
7,558.151,1.83579,1.5808,1.47367,0.44398,0.55745,0.46317,0.20328,1.9439,1.71252,1.62109,0.00112625,0.00112625,0.00112625
8,635.445,1.8309,1.56111,1.44663,0.46169,0.54338,0.47312,0.21022,1.9192,1.67017,1.60371,0.00110563,0.00110563,0.00110563
9,713.02,1.8259,1.5441,1.45165,0.47147,0.55353,0.47579,0.20993,1.96365,1.63355,1.61333,0.001085,0.001085,0.001085
10,790.079,1.79787,1.5233,1.44164,0.45251,0.59404,0.50175,0.22405,1.95515,1.56825,1.61446,0.00106437,0.00106437,0.00106437
11,867.545,1.79583,1.53005,1.44506,0.47921,0.56658,0.49834,0.22586,1.90481,1.54749,1.59606,0.00104375,0.00104375,0.00104375
12,945.019,1.7927,1.49689,1.42641,0.48889,0.55521,0.49231,0.23298,1.87994,1.53578,1.56398,0.00102312,0.00102312,0.00102312
