features,model,n_dim,te_acc_B1,te_mae_B1,te_bias_B1,te_acc_B2,te_mae_B2,te_bias_B2,te_acc_B3,te_mae_B3,te_bias_B3,te_acc_B4,te_mae_B4,te_bias_B4,te_macro_acc,te_macro_mae,te_joint_acc,te_total_mae,va_acc_B1,va_mae_B1,va_bias_B1,va_acc_B2,va_mae_B2,va_bias_B2,va_acc_B3,va_mae_B3,va_bias_B3,va_acc_B4,va_mae_B4,va_bias_B4,va_macro_acc,va_macro_mae,va_joint_acc,va_total_mae
F1_confidence,Ridge,29,0.9645390070921985,0.36879432624113473,0.014184397163120567,0.8014184397163121,1.0567375886524824,-0.04964539007092199,0.5531914893617021,1.5815602836879432,-0.1773049645390071,0.7446808510638298,1.177304964539007,0.028368794326241134,0.7659574468085106,1.0460992907801419,0.3049645390070922,1.8865248226950355,0.9270833333333334,0.5520833333333334,0.052083333333333336,0.7083333333333334,1.1770833333333333,-0.13541666666666666,0.4583333333333333,1.7395833333333333,0.13541666666666666,0.6979166666666666,1.1875,0.25,0.6979166666666666,1.1640625,0.25,2.2604166666666665
F2_structural,LR,29,0.9716312056737588,0.3404255319148936,0.014184397163120567,0.8156028368794326,1.0638297872340425,-0.0851063829787234,0.5390070921985816,1.5815602836879432,-0.1347517730496454,0.7304964539007093,1.198581560283688,0.10638297872340426,0.7641843971631206,1.0460992907801419,0.3333333333333333,1.8439716312056738,0.9270833333333334,0.5104166666666666,0.07291666666666667,0.6979166666666666,1.1354166666666667,-0.15625,0.4895833333333333,1.7291666666666667,0.10416666666666667,0.6979166666666666,1.25,0.25,0.703125,1.15625,0.2916666666666667,2.0625
F3_all,Ridge,45,0.9716312056737588,0.3617021276595745,0.0070921985815602835,0.8156028368794326,1.0354609929078014,-0.09929078014184398,0.5319148936170213,1.574468085106383,-0.11347517730496454,0.7375886524822695,1.2127659574468086,0.02127659574468085,0.7641843971631206,1.0460992907801419,0.2978723404255319,1.8865248226950355,0.9270833333333334,0.53125,0.03125,0.71875,1.0833333333333333,-0.10416666666666667,0.4583333333333333,1.71875,0.09375,0.6666666666666666,1.2395833333333333,0.21875,0.6927083333333334,1.1432291666666665,0.23958333333333334,2.0729166666666665
F0_baseline,Ridge,13,0.9574468085106383,0.36879432624113473,0.028368794326241134,0.8014184397163121,1.0851063829787233,-0.03546099290780142,0.5602836879432624,1.5460992907801419,-0.1276595744680851,0.723404255319149,1.2127659574468086,-0.0070921985815602835,0.7606382978723404,1.0531914893617023,0.28368794326241137,1.929078014184397,0.9166666666666666,0.5,0.041666666666666664,0.7083333333333334,1.15625,-0.15625,0.5104166666666666,1.6458333333333333,0.125,0.65625,1.3125,0.16666666666666666,0.6979166666666666,1.1536458333333333,0.2708333333333333,2.03125
F2_structural,Ridge,29,0.9645390070921985,0.3546099290780142,0.028368794326241134,0.8014184397163121,1.0425531914893618,-0.09219858156028368,0.5531914893617021,1.5602836879432624,-0.15602836879432624,0.7163120567375887,1.2340425531914894,0.05673758865248227,0.7588652482269503,1.047872340425532,0.3120567375886525,1.8368794326241136,0.9270833333333334,0.5,0.0625,0.7083333333333334,1.0625,-0.125,0.4895833333333333,1.6666666666666667,0.08333333333333333,0.6666666666666666,1.2708333333333333,0.1875,0.6979166666666666,1.125,0.2604166666666667,2.0416666666666665
F0_baseline,LR,13,0.9645390070921985,0.36879432624113473,0.014184397163120567,0.7943262411347518,1.0567375886524824,-0.06382978723404255,0.5531914893617021,1.5460992907801419,-0.14184397163120568,0.7163120567375887,1.2198581560283688,0.05673758865248227,0.7570921985815603,1.0478723404255321,0.3049645390070922,1.8936170212765957,0.9270833333333334,0.53125,0.07291666666666667,0.6875,1.1979166666666667,-0.17708333333333334,0.5104166666666666,1.6666666666666667,0.08333333333333333,0.6666666666666666,1.2916666666666667,0.20833333333333334,0.6979166666666666,1.171875,0.2604166666666667,2.1041666666666665
F1_confidence,LR,29,0.9716312056737588,0.36879432624113473,0.014184397163120567,0.7801418439716312,1.0354609929078014,-0.0851063829787234,0.5460992907801419,1.5815602836879432,-0.19148936170212766,0.723404255319149,1.1843971631205674,0.10638297872340426,0.7553191489361702,1.0425531914893618,0.2978723404255319,1.872340425531915,0.9166666666666666,0.5208333333333334,0.0,0.6770833333333334,1.2604166666666667,-0.19791666666666666,0.4479166666666667,1.78125,0.11458333333333333,0.6770833333333334,1.25,0.2916666666666667,0.6796875,1.203125,0.23958333333333334,2.3333333333333335
F0_baseline,LGB,13,0.9645390070921985,0.4326241134751773,0.06382978723404255,0.7730496453900709,1.049645390070922,-0.22695035460992907,0.5531914893617021,1.5673758865248226,-0.16312056737588654,0.7092198581560284,1.2127659574468086,0.07801418439716312,0.75,1.0656028368794326,0.3262411347517731,1.9361702127659575,0.9375,0.5104166666666666,0.09375,0.6041666666666666,1.3229166666666667,-0.23958333333333334,0.4895833333333333,1.71875,0.13541666666666666,0.625,1.2916666666666667,0.375,0.6640625,1.2109375,0.20833333333333334,2.1145833333333335
F3_all,LR,45,0.9645390070921985,0.3900709219858156,0.0070921985815602835,0.7872340425531915,1.049645390070922,-0.1276595744680851,0.5106382978723404,1.6666666666666667,-0.16312056737588654,0.7304964539007093,1.1914893617021276,0.11347517730496454,0.74822695035461,1.074468085106383,0.28368794326241137,2.0,0.9270833333333334,0.4895833333333333,-0.010416666666666666,0.6875,1.1979166666666667,-0.17708333333333334,0.4479166666666667,1.8020833333333333,0.13541666666666666,0.71875,1.25,0.25,0.6953125,1.1848958333333333,0.23958333333333334,2.34375
F1_confidence,XGB,29,0.9645390070921985,0.36879432624113473,0.0,0.7872340425531915,0.9929078014184397,-0.09929078014184398,0.5460992907801419,1.553191489361702,-0.10638297872340426,0.6808510638297872,1.2765957446808511,0.09929078014184398,0.7446808510638299,1.047872340425532,0.2765957446808511,1.8652482269503545,0.9166666666666666,0.5,-0.020833333333333332,0.65625,1.2291666666666667,-0.22916666666666666,0.4375,1.78125,0.28125,0.6666666666666666,1.1979166666666667,0.28125,0.6692708333333333,1.1770833333333335,0.25,2.125
