features,model,strategy,n_dim,macro,joint,mae,bias_B1,bias_B2,bias_B3,bias_B4
F_all,Ridge,train_only,67,0.774822695035461,0.3262411347517731,1.0354609929078014,0.014184397163120567,-0.07801418439716312,-0.1773049645390071,0.07092198581560284
F0+spatial,ElasticNet,train_only,21,0.7677304964539007,0.3120567375886525,1.0390070921985817,0.014184397163120567,-0.06382978723404255,-0.15602836879432624,0.03546099290780142
F0+spatial,Ridge,train_only,21,0.7659574468085106,0.3049645390070922,1.0460992907801419,0.02127659574468085,-0.07092198581560284,-0.1276595744680851,0.02127659574468085
F0+spatial,ElasticNet,train_val,21,0.7659574468085106,0.3120567375886525,1.0514184397163122,0.0070921985815602835,-0.03546099290780142,-0.14893617021276595,-0.014184397163120567
F0,ElasticNet,train_only,13,0.7641843971631206,0.2978723404255319,1.0425531914893615,0.0070921985815602835,-0.05673758865248227,-0.1347517730496454,0.0
F0,ElasticNet,train_val,13,0.7641843971631206,0.3049645390070922,1.0336879432624113,0.0070921985815602835,-0.014184397163120567,-0.11347517730496454,-0.0425531914893617
F0,Ridge,train_val,13,0.7641843971631206,0.3049645390070922,1.0372340425531914,0.02127659574468085,-0.02127659574468085,-0.10638297872340426,-0.05673758865248227
F0,LR,train_val,13,0.7641843971631206,0.2978723404255319,1.0443262411347518,0.0070921985815602835,-0.028368794326241134,-0.16312056737588654,0.0070921985815602835
F0+conf+distrib,ElasticNet,train_only,53,0.7641843971631206,0.2978723404255319,1.053191489361702,0.0,-0.07801418439716312,-0.1276595744680851,0.06382978723404255
F_all,Ridge,train_val,67,0.7641843971631206,0.2907801418439716,1.0443262411347516,0.0070921985815602835,-0.0851063829787234,-0.15602836879432624,0.0425531914893617
F0+conf+distrib,Ridge,train_only,53,0.7641843971631206,0.2978723404255319,1.0602836879432624,0.02127659574468085,-0.09219858156028368,-0.11347517730496454,0.07092198581560284
F0+conf,ElasticNet,train_only,33,0.7624113475177305,0.2978723404255319,1.0567375886524824,0.014184397163120567,-0.04964539007092199,-0.14184397163120568,0.02127659574468085
F0+conf+spatial,ElasticNet,train_val,41,0.7624113475177305,0.2907801418439716,1.0585106382978724,0.0070921985815602835,-0.03546099290780142,-0.14893617021276595,-0.014184397163120567
F0+conf,ElasticNet,train_val,33,0.7624113475177305,0.2978723404255319,1.053191489361702,0.02127659574468085,-0.014184397163120567,-0.1276595744680851,0.0070921985815602835
F0+conf+spatial,Ridge,train_only,41,0.7624113475177305,0.2907801418439716,1.0585106382978724,0.0070921985815602835,-0.07092198581560284,-0.14893617021276595,-0.02127659574468085
F0+conf+spatial,ElasticNet,train_only,41,0.7624113475177305,0.2978723404255319,1.0602836879432624,0.0070921985815602835,-0.03546099290780142,-0.15602836879432624,0.014184397163120567
F0+spatial,Ridge,train_val,21,0.7624113475177305,0.2907801418439716,1.053191489361702,0.014184397163120567,-0.0425531914893617,-0.14184397163120568,-0.028368794326241134
F0+spatial,LR,train_only,21,0.7606382978723404,0.2907801418439716,1.0425531914893615,0.0070921985815602835,-0.09929078014184398,-0.09219858156028368,0.028368794326241134
F_all,ElasticNet,train_val,67,0.7606382978723404,0.2978723404255319,1.0585106382978724,-0.0070921985815602835,-0.04964539007092199,-0.12056737588652482,0.05673758865248227
F0,Ridge,train_only,13,0.7606382978723404,0.28368794326241137,1.0531914893617023,0.028368794326241134,-0.03546099290780142,-0.1276595744680851,-0.0070921985815602835
F0+conf+distrib,ElasticNet,train_val,53,0.7588652482269505,0.2765957446808511,1.0585106382978724,0.0,-0.06382978723404255,-0.1276595744680851,0.028368794326241134
F0+conf+distrib,Ridge,train_val,53,0.7588652482269505,0.28368794326241137,1.051418439716312,0.0070921985815602835,-0.0851063829787234,-0.1347517730496454,0.03546099290780142
F_all,ElasticNet,train_only,67,0.7588652482269503,0.2907801418439716,1.0585106382978724,0.0,-0.0851063829787234,-0.10638297872340426,0.07092198581560284
F0+distrib+spatial,ElasticNet,train_val,41,0.7588652482269503,0.2907801418439716,1.053191489361702,0.02127659574468085,-0.0425531914893617,-0.14184397163120568,0.02127659574468085
F0+conf,Ridge,train_only,33,0.7588652482269503,0.2978723404255319,1.0585106382978724,0.014184397163120567,-0.0425531914893617,-0.1347517730496454,-0.014184397163120567
F0+distrib,LR,train_val,33,0.7588652482269503,0.3262411347517731,1.051418439716312,0.03546099290780142,-0.0851063829787234,-0.15602836879432624,0.05673758865248227
F0+distrib,LR,train_only,33,0.7588652482269503,0.2907801418439716,1.0585106382978724,0.028368794326241134,-0.11347517730496454,-0.1347517730496454,0.0851063829787234
