pool,repeat,fold,n_train,n_test,gt,fixed,gap
nontraining237,0,0,189,48,0.9791666666666666,0.7291666666666666,0.25
nontraining237,0,1,189,48,0.9947916666666666,0.7708333333333334,0.22395833333333326
nontraining237,0,2,190,47,0.9787234042553191,0.7127659574468085,0.26595744680851063
nontraining237,0,3,190,47,0.9680851063829786,0.6755319148936171,0.29255319148936154
nontraining237,0,4,190,47,0.9734042553191489,0.7553191489361702,0.21808510638297862
nontraining237,1,0,189,48,0.9583333333333333,0.7552083333333333,0.203125
nontraining237,1,1,189,48,0.9739583333333333,0.71875,0.25520833333333326
nontraining237,1,2,190,47,0.9680851063829787,0.696808510638298,0.27127659574468077
nontraining237,1,3,190,47,0.9893617021276596,0.7287234042553191,0.2606382978723405
nontraining237,1,4,190,47,0.9893617021276595,0.7340425531914894,0.25531914893617014
nontraining237,2,0,189,48,0.9739583333333333,0.7291666666666666,0.24479166666666663
nontraining237,2,1,189,48,0.984375,0.734375,0.25
nontraining237,2,2,190,47,0.9680851063829786,0.7180851063829787,0.2499999999999999
nontraining237,2,3,190,47,0.9787234042553191,0.7340425531914894,0.24468085106382975
nontraining237,2,4,190,47,0.9787234042553191,0.75,0.22872340425531912
nontraining237,3,0,189,48,0.9635416666666666,0.7083333333333334,0.25520833333333326
nontraining237,3,1,189,48,0.9791666666666666,0.7291666666666666,0.25
nontraining237,3,2,190,47,0.9627659574468085,0.6968085106382979,0.26595744680851063
nontraining237,3,3,190,47,0.9946808510638298,0.7712765957446809,0.22340425531914887
nontraining237,3,4,190,47,0.9840425531914893,0.7180851063829787,0.2659574468085105
nontraining237,4,0,189,48,0.984375,0.7083333333333333,0.27604166666666674
nontraining237,4,1,189,48,0.9791666666666666,0.7395833333333334,0.23958333333333326
nontraining237,4,2,190,47,0.9893617021276596,0.7340425531914894,0.25531914893617025
nontraining237,4,3,190,47,0.9734042553191489,0.7340425531914894,0.2393617021276595
nontraining237,4,4,190,47,0.9627659574468085,0.6914893617021276,0.2712765957446809
testonly141,0,0,112,29,0.9655172413793103,0.6982758620689655,0.26724137931034475
testonly141,0,1,113,28,0.9821428571428572,0.7678571428571428,0.2142857142857144
testonly141,0,2,113,28,0.9732142857142857,0.7321428571428571,0.2410714285714286
testonly141,0,3,113,28,0.9553571428571428,0.7232142857142858,0.23214285714285698
testonly141,0,4,113,28,0.9821428571428572,0.7410714285714286,0.2410714285714286
testonly141,1,0,112,29,0.9655172413793104,0.7155172413793103,0.2500000000000001
testonly141,1,1,113,28,0.9732142857142857,0.7232142857142857,0.25
testonly141,1,2,113,28,0.9553571428571429,0.7589285714285714,0.1964285714285715
testonly141,1,3,113,28,0.9642857142857143,0.7053571428571428,0.2589285714285715
testonly141,1,4,113,28,0.9910714285714286,0.7589285714285714,0.2321428571428572
testonly141,2,0,112,29,0.9913793103448276,0.7327586206896552,0.2586206896551724
testonly141,2,1,113,28,0.9642857142857143,0.7321428571428572,0.2321428571428571
testonly141,2,2,113,28,0.9464285714285714,0.7321428571428572,0.2142857142857142
testonly141,2,3,113,28,0.9553571428571429,0.7410714285714286,0.2142857142857143
testonly141,2,4,113,28,0.9910714285714286,0.8214285714285714,0.1696428571428572
testonly141,3,0,112,29,0.9655172413793104,0.7155172413793104,0.25
testonly141,3,1,113,28,0.9821428571428572,0.7767857142857142,0.20535714285714302
testonly141,3,2,113,28,0.9732142857142858,0.7321428571428571,0.24107142857142871
testonly141,3,3,113,28,0.9821428571428572,0.7410714285714286,0.2410714285714286
testonly141,3,4,113,28,0.9732142857142857,0.7678571428571428,0.2053571428571429
testonly141,4,0,112,29,0.9827586206896551,0.793103448275862,0.18965517241379315
testonly141,4,1,113,28,0.9732142857142858,0.7321428571428572,0.2410714285714286
testonly141,4,2,113,28,0.9732142857142858,0.6875,0.2857142857142858
testonly141,4,3,113,28,0.9553571428571428,0.75,0.2053571428571428
testonly141,4,4,113,28,0.9732142857142858,0.7410714285714286,0.2321428571428572
