condition,features,model,acc_B1,mae_B1,rmse_B1,bias_B1,acc_B2,mae_B2,rmse_B2,bias_B2,acc_B3,mae_B3,rmse_B3,bias_B3,acc_B4,mae_B4,rmse_B4,bias_B4,macro,mae,rmse,joint,exact,total_mae,total_rmse,total_bias,total_acc
gt,F0,LR,1.0,0.05673758865248227,0.23819653367016547,-0.0425531914893617,0.9929078014184397,0.2127659574468085,0.47639306734033093,0.07092198581560284,0.9148936170212766,0.5957446808510638,0.8751899489873673,-0.0425531914893617,0.9929078014184397,0.24113475177304963,0.5052911526399113,0.0,0.975177304964539,0.276595744680851,0.5237676756594438,0.900709219858156,0.2765957446808511,1.0070921985815602,1.3368747295663836,-0.014184397163120567,0.7659574468085106
gt,F0,Ridge,1.0,0.04964539007092199,0.2228124549277306,-0.04964539007092199,0.9929078014184397,0.22695035460992907,0.49105473398904287,0.07092198581560284,0.9219858156028369,0.5957446808510638,0.8670484701822557,-0.05673758865248227,0.9929078014184397,0.22695035460992907,0.49105473398904287,-0.014184397163120567,0.9769503546099292,0.274822695035461,0.517992598272018,0.9078014184397163,0.2765957446808511,0.9716312056737588,1.312784923481051,-0.04964539007092199,0.7801418439716312
gt,F0,ElasticNet,1.0,0.04964539007092199,0.2228124549277306,-0.04964539007092199,0.9929078014184397,0.22695035460992907,0.5191373094849674,0.0425531914893617,0.9361702127659575,0.6028368794326241,0.8546908528238203,-0.06382978723404255,0.9929078014184397,0.22695035460992907,0.49105473398904287,-0.028368794326241134,0.9804964539007093,0.276595744680851,0.5219238378063903,0.9219858156028369,0.2553191489361702,0.9787234042553191,1.2937383295118943,-0.09929078014184398,0.7801418439716312
gt,F0,SVM,1.0,0.0425531914893617,0.20628424925175867,-0.0425531914893617,0.9858156028368794,0.20567375886524822,0.4837794468468967,-0.02127659574468085,0.9361702127659575,0.5886524822695035,0.8629489272626913,-0.09219858156028368,0.9929078014184397,0.22695035460992907,0.49105473398904287,-0.0425531914893617,0.9787234042553192,0.26595744680851063,0.5110168393375975,0.9148936170212766,0.3120567375886525,0.9361702127659575,1.2882447236783492,-0.19858156028368795,0.7730496453900709
gt,F0,RF,0.9858156028368794,0.14893617021276595,0.45351268875881323,-0.06382978723404255,0.9858156028368794,0.24822695035460993,0.5522359450516529,-0.0070921985815602835,0.9078014184397163,0.6950354609929078,0.9821094679780857,0.014184397163120567,0.9574468085106383,0.36879432624113473,0.6737215368532151,-0.07092198581560284,0.9592198581560284,0.36524822695035464,0.6653949096604417,0.8439716312056738,0.2198581560283688,1.148936170212766,1.5889690667333525,-0.1276595744680851,0.6950354609929078
fixed,F0,LR,0.9645390070921985,0.36879432624113473,0.6631110857591943,0.014184397163120567,0.7943262411347518,1.0567375886524824,1.4610789756374039,-0.06382978723404255,0.5531914893617021,1.5460992907801419,1.9928951818080545,-0.14184397163120568,0.7163120567375887,1.2198581560283688,1.6502739940140694,0.05673758865248227,0.7570921985815603,1.0478723404255321,1.4418398093046805,0.3049645390070922,0.0070921985815602835,1.8936170212765957,2.3655326421022105,-0.1347517730496454,0.48936170212765956
fixed,F0,Ridge,0.9574468085106383,0.36879432624113473,0.6737215368532151,0.028368794326241134,0.8014184397163121,1.0851063829787233,1.4803679818552304,-0.03546099290780142,0.5602836879432624,1.5460992907801419,1.9533568124844556,-0.1276595744680851,0.723404255319149,1.2127659574468086,1.6220991565742413,-0.0070921985815602835,0.7606382978723404,1.0531914893617023,1.4323863719417855,0.28368794326241137,0.0,1.929078014184397,2.4086133852730107,-0.14184397163120568,0.48226950354609927
fixed,F0,ElasticNet,0.9645390070921985,0.3475177304964539,0.6468691647559471,0.0070921985815602835,0.8014184397163121,1.0780141843971631,1.48753687599562,-0.05673758865248227,0.5602836879432624,1.5390070921985815,1.973225030572184,-0.1347517730496454,0.7304964539007093,1.2056737588652482,1.624283802892963,0.0,0.7641843971631206,1.0425531914893615,1.4329787185541785,0.2978723404255319,0.0070921985815602835,1.8865248226950355,2.3997635817361154,-0.18439716312056736,0.48226950354609927
fixed,F0,SVM,0.9574468085106383,0.3829787234042553,0.7045948486252365,0.014184397163120567,0.7659574468085106,1.0354609929078014,1.6111314908631957,-0.5815602836879432,0.5531914893617021,1.5602836879432624,1.989333257277583,-0.28368794326241137,0.7163120567375887,1.1914893617021276,1.6588469036187126,-0.3120567375886525,0.74822695035461,1.0425531914893615,1.490976625096182,0.2907801418439716,0.014184397163120567,2.0567375886524824,2.679049265045159,-1.1631205673758864,0.4397163120567376
fixed,F0,RF,0.9574468085106383,0.3829787234042553,0.7341710238075196,0.028368794326241134,0.7375886524822695,1.1560283687943262,1.6264655148271623,-0.16312056737588654,0.5602836879432624,1.6170212765957446,2.0833687940244503,-0.22695035460992907,0.6737588652482269,1.2836879432624113,1.6308201826336055,0.12056737588652482,0.7322695035460993,1.1099290780141842,1.5187063788231847,0.2695035460992908,0.014184397163120567,2.0709219858156027,2.601145410546767,-0.24113475177304963,0.4326241134751773
