block,setting,n_trees,detections,gt_appearances,recall_macro,recall_B1,recall_B2,recall_B3,recall_B4
checkpoint,YOLO26n (old protocol),64,1013,1203,0.44199104630366376,0.6216216216216216,0.315,0.507959479015919,0.32338308457711445
checkpoint,YOLO26s (old protocol),64,825,1203,0.38307460672543725,0.6936936936936937,0.15,0.47467438494934877,0.21393034825870647
checkpoint,YOLO26m (old protocol),64,950,1203,0.42739291111423755,0.6756756756756757,0.295,0.5050651230101303,0.23383084577114427
checkpoint,"YOLO26m (y26mv2, released)",64,1067,1203,0.4416306691597747,0.7027027027027027,0.22,0.5701881331403763,0.2736318407960199
family,GT detections,141,2612,2612,1.0,,,,
checkpoint,GT detections,64,1203,1203,1.0,,,,
threshold,0.05,141,8807,2612,0.5914064439087906,0.7341269841269841,0.31451612903225806,0.8026969481902059,0.5142857142857142
threshold,0.1,141,5522,2612,0.556458897094915,0.7142857142857143,0.30443548387096775,0.7565649396735273,0.45054945054945056
threshold,0.15,141,3918,2612,0.5194257033203523,0.7142857142857143,0.2923387096774194,0.7040454222853088,0.367032967032967
threshold,0.2,141,3006,2612,0.48227156654311293,0.7023809523809523,0.2762096774193548,0.6493967352732435,0.3010989010989011
threshold,0.25,141,2353,2612,0.4414205609229963,0.6825396825396826,0.25201612903225806,0.602555003548616,0.22857142857142856
threshold,0.3,141,1861,2612,0.40046862698945224,0.6626984126984127,0.2399193548387097,0.5344215755855216,0.16483516483516483
threshold,0.35,141,1488,2612,0.35495407071014057,0.6349206349206349,0.21169354838709678,0.46770759403832507,0.1054945054945055
threshold,0.4,141,1223,2612,0.317902997143021,0.6150793650793651,0.18548387096774194,0.40951029098651526,0.06153846153846154
threshold,0.5,141,799,2612,0.24514832492436148,0.5555555555555556,0.10483870967741936,0.29382540809084456,0.026373626373626374
threshold,0.6,141,433,2612,0.16245312801509715,0.4642857142857143,0.020161290322580645,0.1653655074520937,0.0
threshold,0.7,141,125,2612,0.08585749771874684,0.32142857142857145,0.0,0.0220014194464159,0.0
