condition,features,model,n_dim,acc_B1,mae_B1,rmse_B1,bias_B1,acc_B2,mae_B2,rmse_B2,bias_B2,acc_B3,mae_B3,rmse_B3,bias_B3,acc_B4,mae_B4,rmse_B4,bias_B4,macro,mae,rmse,joint,exact,total_mae,total_rmse,total_bias,total_acc
fixed,F0,LR,13,0.9645390070921985,0.36879432624113473,0.6631110857591943,0.014184397163120567,0.7943262411347518,1.0567375886524824,1.4610789756374039,-0.06382978723404255,0.5531914893617021,1.5460992907801419,1.9928951818080545,-0.14184397163120568,0.7163120567375887,1.2198581560283688,1.6502739940140694,0.05673758865248227,0.7570921985815603,1.0478723404255321,1.4418398093046805,0.3049645390070922,0.0070921985815602835,1.8936170212765957,2.3655326421022105,-0.1347517730496454,0.48936170212765956
fixed,F0,Ridge,13,0.9574468085106383,0.36879432624113473,0.6737215368532151,0.028368794326241134,0.8014184397163121,1.0851063829787233,1.4803679818552304,-0.03546099290780142,0.5602836879432624,1.5460992907801419,1.9533568124844556,-0.1276595744680851,0.723404255319149,1.2127659574468086,1.6220991565742413,-0.0070921985815602835,0.7606382978723404,1.0531914893617023,1.4323863719417855,0.28368794326241137,0.0,1.929078014184397,2.4086133852730107,-0.14184397163120568,0.48226950354609927
fixed,F0,ElasticNet,13,0.9645390070921985,0.3475177304964539,0.6468691647559471,0.0070921985815602835,0.8014184397163121,1.0780141843971631,1.48753687599562,-0.05673758865248227,0.5602836879432624,1.5390070921985815,1.973225030572184,-0.1347517730496454,0.7304964539007093,1.2056737588652482,1.624283802892963,0.0,0.7641843971631206,1.0425531914893615,1.4329787185541785,0.2978723404255319,0.0070921985815602835,1.8865248226950355,2.3997635817361154,-0.18439716312056736,0.48226950354609927
fixed,F0,SVM,13,0.9574468085106383,0.3829787234042553,0.7045948486252365,0.014184397163120567,0.7659574468085106,1.0354609929078014,1.6111314908631957,-0.5815602836879432,0.5531914893617021,1.5602836879432624,1.989333257277583,-0.28368794326241137,0.7163120567375887,1.1914893617021276,1.6588469036187126,-0.3120567375886525,0.74822695035461,1.0425531914893615,1.490976625096182,0.2907801418439716,0.014184397163120567,2.0567375886524824,2.679049265045159,-1.1631205673758864,0.4397163120567376
fixed,F0,RF,13,0.9574468085106383,0.3829787234042553,0.7341710238075196,0.028368794326241134,0.7375886524822695,1.1560283687943262,1.6264655148271623,-0.16312056737588654,0.5602836879432624,1.6170212765957446,2.0833687940244503,-0.22695035460992907,0.6737588652482269,1.2836879432624113,1.6308201826336055,0.12056737588652482,0.7322695035460993,1.1099290780141842,1.5187063788231847,0.2695035460992908,0.014184397163120567,2.0709219858156027,2.601145410546767,-0.24113475177304963,0.4326241134751773
fixed,F_all,LR,67,0.9574468085106383,0.4326241134751773,0.7389853116132565,0.0070921985815602835,0.8085106382978723,1.0,1.485151089574811,-0.16312056737588654,0.5035460992907801,1.6524822695035462,2.1388006183621657,-0.16312056737588654,0.6595744680851063,1.2836879432624113,1.7073059529625252,0.14893617021276595,0.7322695035460992,1.0921985815602837,1.5175607431281897,0.2765957446808511,0.014184397163120567,2.0,2.518020161141466,-0.1702127659574468,0.3971631205673759
fixed,F_all,Ridge,67,0.9716312056737588,0.36879432624113473,0.6523280730534422,0.014184397163120567,0.8297872340425532,1.0141843971631206,1.4366035595229614,-0.07801418439716312,0.574468085106383,1.553191489361702,1.983978380115559,-0.1773049645390071,0.723404255319149,1.2056737588652482,1.5978709238739224,0.07092198581560284,0.774822695035461,1.0354609929078014,1.4176952341414712,0.3262411347517731,0.014184397163120567,1.7872340425531914,2.256590034002695,-0.1702127659574468,0.48936170212765956
fixed,F_all,ElasticNet,67,0.9716312056737588,0.36879432624113473,0.6523280730534422,0.0,0.8085106382978723,1.0354609929078014,1.4586499149789456,-0.0851063829787234,0.5390070921985816,1.5815602836879432,2.012373074275971,-0.10638297872340426,0.7163120567375887,1.24822695035461,1.637330468729446,0.07092198581560284,0.7588652482269503,1.0585106382978724,1.4401703827594512,0.2907801418439716,0.014184397163120567,1.8794326241134751,2.392363738088159,-0.12056737588652482,0.46808510638297873
fixed,F_all,SVM,67,0.9716312056737588,0.41843971631205673,0.7096098218674683,-0.03546099290780142,0.8014184397163121,0.9645390070921985,1.5619591262439416,-0.48226950354609927,0.5035460992907801,1.6382978723404256,2.071419837175451,-0.3475177304964539,0.6808510638297872,1.2056737588652482,1.6502739940140694,-0.19858156028368795,0.7393617021276596,1.0567375886524821,1.4983156948252327,0.24822695035460993,0.028368794326241134,2.1560283687943262,2.757324224575816,-1.0638297872340425,0.41843971631205673
fixed,F_all,RF,67,0.9645390070921985,0.41134751773049644,0.74376843799781,-0.028368794326241134,0.7659574468085106,1.0354609929078014,1.48753687599562,-0.09929078014184398,0.5531914893617021,1.5602836879432624,2.0211646105596452,-0.19858156028368795,0.6950354609929078,1.24822695035461,1.6502739940140694,0.19858156028368795,0.7446808510638298,1.0638297872340425,1.4756859796417863,0.2765957446808511,0.014184397163120567,2.0141843971631204,2.503897670852244,-0.1276595744680851,0.4397163120567376
