condition,features,model,train_estate,test_estate,same_estate,n_train,n_test,macro,joint,mae,total_mae
gt,F0,LR,DAMIMAS,DAMIMAS,True,641,213,0.9800469483568075,0.92018779342723,0.2699530516431925,0.9483568075117371
gt,F0,LR,DAMIMAS,LONSUM,False,641,24,0.9791666666666666,0.9166666666666666,0.19791666666666669,0.7083333333333334
gt,F0,LR,LONSUM,DAMIMAS,False,75,213,0.9542253521126761,0.8262910798122066,0.38615023474178406,1.1032863849765258
gt,F0,LR,LONSUM,LONSUM,True,75,24,0.96875,0.875,0.22916666666666666,0.8333333333333334
gt,F0,Ridge,DAMIMAS,DAMIMAS,True,641,213,0.9823943661971831,0.9295774647887324,0.27230046948356806,0.92018779342723
gt,F0,Ridge,DAMIMAS,LONSUM,False,641,24,0.9791666666666666,0.9166666666666666,0.19791666666666669,0.7083333333333334
gt,F0,Ridge,LONSUM,DAMIMAS,False,75,213,0.9553990610328639,0.8309859154929577,0.3732394366197183,1.1830985915492958
gt,F0,Ridge,LONSUM,LONSUM,True,75,24,0.9791666666666666,0.9166666666666666,0.23958333333333331,0.875
gt,F0,ElasticNet,DAMIMAS,DAMIMAS,True,641,213,0.9823943661971831,0.9295774647887324,0.2734741784037559,0.9248826291079812
gt,F0,ElasticNet,DAMIMAS,LONSUM,False,641,24,0.9791666666666666,0.9166666666666666,0.19791666666666669,0.7083333333333334
gt,F0,ElasticNet,LONSUM,DAMIMAS,False,75,213,0.948356807511737,0.812206572769953,0.4014084507042254,1.323943661971831
gt,F0,ElasticNet,LONSUM,LONSUM,True,75,24,0.9791666666666666,0.9166666666666666,0.26041666666666663,0.9583333333333334
gt,F0,SVM,DAMIMAS,DAMIMAS,True,641,213,0.976525821596244,0.9061032863849765,0.2734741784037559,0.9530516431924883
gt,F0,SVM,DAMIMAS,LONSUM,False,641,24,0.9791666666666666,0.9166666666666666,0.22916666666666666,0.8333333333333334
gt,F0,SVM,LONSUM,DAMIMAS,False,75,213,0.8110328638497653,0.5117370892018779,0.784037558685446,2.619718309859155
gt,F0,SVM,LONSUM,LONSUM,True,75,24,0.9583333333333333,0.8333333333333334,0.2604166666666667,0.875
gt,F0,RF,DAMIMAS,DAMIMAS,True,641,213,0.960093896713615,0.8544600938967136,0.37206572769953056,1.1690140845070423
gt,F0,RF,DAMIMAS,LONSUM,False,641,24,0.9583333333333334,0.8333333333333334,0.3541666666666667,1.0
gt,F0,RF,LONSUM,DAMIMAS,False,75,213,0.8039906103286385,0.460093896713615,0.8509389671361502,2.9061032863849765
gt,F0,RF,LONSUM,LONSUM,True,75,24,0.9479166666666667,0.7916666666666666,0.40625,1.2916666666666667
gt,F_all,Ridge,DAMIMAS,DAMIMAS,True,641,213,0.9765258215962441,0.9061032863849765,0.29225352112676056,0.971830985915493
gt,F_all,Ridge,DAMIMAS,LONSUM,False,641,24,0.96875,0.875,0.25,0.8333333333333334
gt,F_all,Ridge,LONSUM,DAMIMAS,False,75,213,0.9190140845070423,0.7136150234741784,0.465962441314554,1.300469483568075
gt,F_all,Ridge,LONSUM,LONSUM,True,75,24,0.9791666666666666,0.9166666666666666,0.25,0.9166666666666666
fixed,F0,LR,DAMIMAS,DAMIMAS,True,641,213,0.7288732394366197,0.29577464788732394,1.102112676056338,1.9295774647887325
fixed,F0,LR,DAMIMAS,LONSUM,False,641,24,0.7395833333333333,0.08333333333333333,1.0833333333333333,2.4166666666666665
fixed,F0,LR,LONSUM,DAMIMAS,False,75,213,0.6349765258215962,0.1596244131455399,1.4683098591549295,2.427230046948357
fixed,F0,LR,LONSUM,LONSUM,True,75,24,0.7291666666666666,0.125,1.0416666666666665,2.4166666666666665
fixed,F0,Ridge,DAMIMAS,DAMIMAS,True,641,213,0.7370892018779344,0.29577464788732394,1.096244131455399,1.943661971830986
fixed,F0,Ridge,DAMIMAS,LONSUM,False,641,24,0.7291666666666666,0.041666666666666664,1.0729166666666665,2.375
fixed,F0,Ridge,LONSUM,DAMIMAS,False,75,213,0.6901408450704226,0.22065727699530516,1.2687793427230047,2.643192488262911
fixed,F0,Ridge,LONSUM,LONSUM,True,75,24,0.7395833333333334,0.16666666666666666,1.03125,2.375
fixed,F0,ElasticNet,DAMIMAS,DAMIMAS,True,641,213,0.7370892018779343,0.3004694835680751,1.09037558685446,1.948356807511737
fixed,F0,ElasticNet,DAMIMAS,LONSUM,False,641,24,0.7395833333333333,0.08333333333333333,1.0625,2.3333333333333335
fixed,F0,ElasticNet,LONSUM,DAMIMAS,False,75,213,0.642018779342723,0.1643192488262911,1.3274647887323943,2.784037558685446
fixed,F0,ElasticNet,LONSUM,LONSUM,True,75,24,0.75,0.16666666666666666,1.0416666666666667,2.4166666666666665
fixed,F0,SVM,DAMIMAS,DAMIMAS,True,641,213,0.7323943661971831,0.29577464788732394,1.0786384976525822,2.0610328638497655
fixed,F0,SVM,DAMIMAS,LONSUM,False,641,24,0.75,0.20833333333333334,0.9791666666666666,2.5
fixed,F0,SVM,LONSUM,DAMIMAS,False,75,213,0.6255868544600939,0.14084507042253522,1.4553990610328638,4.488262910798122
fixed,F0,SVM,LONSUM,LONSUM,True,75,24,0.71875,0.125,1.09375,2.9583333333333335
fixed,F0,RF,DAMIMAS,DAMIMAS,True,641,213,0.7018779342723005,0.2676056338028169,1.164319248826291,2.0938967136150235
fixed,F0,RF,DAMIMAS,LONSUM,False,641,24,0.625,0.041666666666666664,1.2916666666666665,2.4166666666666665
fixed,F0,RF,LONSUM,DAMIMAS,False,75,213,0.6291079812206573,0.15492957746478872,1.4014084507042255,3.5305164319248825
fixed,F0,RF,LONSUM,LONSUM,True,75,24,0.7291666666666666,0.08333333333333333,1.1458333333333335,2.8333333333333335
fixed,F_all,Ridge,DAMIMAS,DAMIMAS,True,641,213,0.7429577464788732,0.30985915492957744,1.09037558685446,1.892018779342723
fixed,F_all,Ridge,DAMIMAS,LONSUM,False,641,24,0.71875,0.08333333333333333,1.1666666666666665,2.5
fixed,F_all,Ridge,LONSUM,DAMIMAS,False,75,213,0.687793427230047,0.19248826291079812,1.273474178403756,2.7370892018779345
fixed,F_all,Ridge,LONSUM,LONSUM,True,75,24,0.7291666666666666,0.125,1.0416666666666667,2.4166666666666665
