condition,pool,n_pool,features,model,macro_mean,joint_mean,mae_mean,rmse_mean,total_mae_mean,macro_std,joint_std,mae_std,rmse_std,total_mae_std
gt,all953,953,F0,LR,0.9781747037751445,0.9171066409479195,0.27275888674565996,0.5369778149441753,0.9386696059520528,0.004777153577489556,0.018442440444396576,0.018694524958667403,0.018863798742721025,0.059619627639825236
gt,all953,953,F0,Ridge,0.9783849545329291,0.9175265913474787,0.270082942959493,0.5333922730586039,0.9300600716450815,0.004808361709959698,0.01822137505325919,0.017997800066609417,0.018327925488329327,0.05071563877989911
gt,all953,953,F0,ElasticNet,0.9784375861118765,0.9171077431799394,0.2727608156516947,0.5363043762884466,0.9428702121796638,0.004655132967260963,0.017800456466681255,0.015813647841866646,0.016747256188031644,0.049175213239425856
gt,all953,953,F0,SVM,0.9750774317993938,0.9066034720308624,0.2781071920639295,0.5518100760544327,0.960062827225131,0.004155974956227812,0.015498922990066598,0.01611048611286215,0.01998857080877824,0.054568533511995594
gt,all953,953,F0,RF,0.9600716450812896,0.8509892532378065,0.3622171397079086,0.6646097285968792,1.1441763571231744,0.004701148646534511,0.018236340496212144,0.016814564915375994,0.02176527713318719,0.05313205233899755
gt,all953,953,F_all,Ridge,0.9769647285753651,0.9120551116009922,0.2819498484430973,0.5462214136278538,0.9464645907963626,0.004534620567441267,0.017446519951718534,0.015672389627890762,0.018706971784746045,0.04665782595456459
fixed,all953,953,F0,LR,0.7457710112978782,0.3228195095067512,1.0753695232846514,1.469265691140006,1.9052344998622213,0.014419874352791486,0.03554611422990257,0.028895764860515337,0.035786135496025155,0.09092442682143022
fixed,all953,953,F0,Ridge,0.7480223201984018,0.3236417745935519,1.0697646734637642,1.4589564736669103,1.8916087076329569,0.01245264962037598,0.03493051923726414,0.026205724465953647,0.03035593734976446,0.09452145787960099
fixed,all953,953,F0,ElasticNet,0.7481799393772388,0.32406062276109115,1.0688702121796638,1.4575095225320638,1.886364287682557,0.01260859369032798,0.03326756558571759,0.02682569628433433,0.03122564822720491,0.08560016257797803
fixed,all953,953,F0,SVM,0.7487621934417195,0.3288950124001102,1.0522287131441168,1.4913867876205524,1.9495883163405898,0.01303406684637617,0.033283688583308414,0.026902456700936994,0.03750607231796999,0.09918280879018244
fixed,all953,953,F0,RF,0.7173777900248003,0.2696908239184348,1.1304169192615046,1.5433340280495285,1.959729953155139,0.015568930509497847,0.025721997754133336,0.03390090746663153,0.03615809675458166,0.08909033672511868
fixed,all953,953,F_all,Ridge,0.7512179663819235,0.33013061449435105,1.0610581427390466,1.446193130155005,1.883661614769909,0.0114875131652594,0.031810250750989415,0.02215776049210606,0.028715424597997315,0.08503035981471249
fixed,detector_heldout237,237,F0,LR,0.7212854609929079,0.26406028368794326,1.145110815602837,1.536276859013313,2.0623226950354607,0.027264322892893503,0.05556589738257319,0.0666176310874974,0.0901655503319352,0.21475995213205273
fixed,detector_heldout237,237,F0,Ridge,0.7269592198581561,0.27340425531914897,1.1182047872340426,1.488049114103859,1.9847695035460993,0.02353731664977067,0.05399468689649924,0.058564348719339084,0.07746682483874065,0.1855362037241689
fixed,detector_heldout237,237,F0,ElasticNet,0.7258953900709222,0.2649290780141844,1.1175664893617023,1.4880962813066234,1.973776595744681,0.021925955686833462,0.052686531454605494,0.05955719186820929,0.07966473116126778,0.20840357072636997
fixed,detector_heldout237,237,F0,SVM,0.7202039007092199,0.26909574468085107,1.1182668439716312,1.547469366447209,2.22427304964539,0.030299360246113658,0.05470295174713399,0.07421516864065433,0.0961172208679348,0.23332831457880523
fixed,detector_heldout237,237,F0,RF,0.697668439716312,0.23191489361702125,1.182712765957447,1.5883563731984154,2.1688297872340425,0.0305860144417998,0.06562841432415957,0.07821419755664467,0.09722257606461858,0.1819863174969217
fixed,detector_heldout237,237,F_all,Ridge,0.7233510638297872,0.25303191489361704,1.1260948581560282,1.4957302601331282,2.0096276595744684,0.020793682953287144,0.04537772513515925,0.057064981471916326,0.07848881083798563,0.17075268976599112
