detector,features,model,n_fit,n_eval,recall_B1,recall_B2,recall_B3,recall_B4,recall_macro,loc_recall_macro,false_positives,acc_B1,mae_B1,rmse_B1,bias_B1,acc_B2,mae_B2,rmse_B2,bias_B2,acc_B3,mae_B3,rmse_B3,bias_B3,acc_B4,mae_B4,rmse_B4,bias_B4,macro,mae,rmse,joint,exact,total_mae,total_rmse,total_bias,total_acc
YOLO26n (old protocol),F0,ElasticNet,590,64,0.6216216216216216,0.315,0.507959479015919,0.32338308457711445,0.44199104630366376,0.6515268165761718,270.0,0.953125,0.4375,0.7288689868556626,0.0,0.796875,1.03125,1.4684175155588413,0.125,0.546875,1.65625,2.165063509461097,-0.5,0.578125,1.40625,1.758905909933786,0.15625,0.71875,1.1328125,1.5303139804523465,0.328125,0.03125,1.90625,2.404423007708918,-0.21875,0.515625
YOLO26n (old protocol),F0,Ridge,590,64,0.6216216216216216,0.315,0.507959479015919,0.32338308457711445,0.44199104630366376,0.6515268165761718,270.0,0.953125,0.453125,0.739509972887452,0.015625,0.8125,1.03125,1.479019945774904,0.125,0.5625,1.640625,2.1758618981911515,-0.484375,0.578125,1.40625,1.758905909933786,0.15625,0.7265625,1.1328125,1.5383244316968234,0.34375,0.03125,1.875,2.3651109910530628,-0.1875,0.546875
YOLO26n (old protocol),F_all,Ridge,590,64,0.6216216216216216,0.315,0.507959479015919,0.32338308457711445,0.44199104630366376,0.6515268165761718,270.0,0.953125,0.453125,0.739509972887452,0.015625,0.765625,1.09375,1.479019945774904,0.1875,0.546875,1.671875,2.1469455046647083,-0.453125,0.640625,1.28125,1.620185174601965,0.375,0.7265625,1.125,1.4964151494822573,0.328125,0.0,1.8125,2.2980970388562794,0.125,0.546875
YOLO26s (old protocol),F0,ElasticNet,590,64,0.6936936936936937,0.15,0.47467438494934877,0.21393034825870647,0.38307460672543725,0.5447035303982297,201.0,0.9375,0.40625,0.7288689868556626,-0.03125,0.796875,1.078125,1.4415703243338496,0.078125,0.546875,1.734375,2.2603926650031405,-0.484375,0.59375,1.4375,1.7853571071357126,0.0,0.71875,1.1640625,1.5540472708320916,0.265625,0.015625,2.125,2.7386127875258306,-0.4375,0.4375
YOLO26s (old protocol),F0,Ridge,590,64,0.6936936936936937,0.15,0.47467438494934877,0.21393034825870647,0.38307460672543725,0.5447035303982297,201.0,0.9375,0.40625,0.7288689868556626,-0.03125,0.796875,1.078125,1.4415703243338496,0.078125,0.546875,1.75,2.2638462845343543,-0.46875,0.609375,1.390625,1.7275343701356567,0.078125,0.72265625,1.15625,1.5404549914648809,0.265625,0.03125,2.09375,2.715695122800054,-0.34375,0.421875
YOLO26s (old protocol),F_all,Ridge,590,64,0.6936936936936937,0.15,0.47467438494934877,0.21393034825870647,0.38307460672543725,0.5447035303982297,201.0,0.96875,0.375,0.6614378277661477,-0.0625,0.78125,1.09375,1.479019945774904,0.03125,0.5625,1.65625,2.200852107707376,-0.4375,0.578125,1.421875,1.7365554986812255,0.140625,0.72265625,1.13671875,1.5194663449824133,0.25,0.015625,2.140625,2.666341125962693,-0.328125,0.359375
YOLO26m (old protocol),F0,ElasticNet,590,64,0.6756756756756757,0.295,0.5050651230101303,0.23383084577114427,0.42739291111423755,0.6285381814088318,246.0,0.953125,0.390625,0.6959705453537527,0.046875,0.734375,1.09375,1.4577379737113252,0.09375,0.546875,1.640625,2.1396553460779613,-0.609375,0.578125,1.421875,1.80710403685012,0.203125,0.703125,1.13671875,1.5251169754982898,0.265625,0.0,2.078125,2.7300412084801944,-0.265625,0.46875
YOLO26m (old protocol),F0,Ridge,590,64,0.6756756756756757,0.295,0.5050651230101303,0.23383084577114427,0.42739291111423755,0.6285381814088318,246.0,0.953125,0.421875,0.7180703308172536,0.015625,0.765625,1.0625,1.4252192813739224,0.09375,0.53125,1.671875,2.1542109924517607,-0.578125,0.578125,1.421875,1.80710403685012,0.203125,0.70703125,1.14453125,1.5261511603732643,0.28125,0.0,2.078125,2.724311839712921,-0.265625,0.46875
YOLO26m (old protocol),F_all,Ridge,590,64,0.6756756756756757,0.295,0.5050651230101303,0.23383084577114427,0.42739291111423755,0.6285381814088318,246.0,0.9375,0.4375,0.75,0.0625,0.71875,1.125,1.5,0.125,0.5,1.75,2.172268399622846,-0.65625,0.625,1.5,1.8540496217739157,0.34375,0.6953125,1.203125,1.5690795053491904,0.25,0.0,2.125,2.6339134382131846,-0.125,0.46875
"YOLO26m (y26mv2, released)",F0,ElasticNet,590,64,0.7027027027027027,0.22,0.5701881331403763,0.2736318407960199,0.4416306691597747,0.6393459062395225,323.0,0.953125,0.40625,0.7071067811865476,0.03125,0.8125,1.015625,1.3975424859373686,0.046875,0.578125,1.640625,2.050152433357091,-0.515625,0.578125,1.359375,1.71846588560844,0.140625,0.73046875,1.10546875,1.4683168965223619,0.296875,0.0,1.796875,2.3217719526258387,-0.296875,0.5
