features,model,scale,shift,noise,macro,joint,mae,d_macro_pp,d_joint_pp
F_all,Ridge,0.9,-0.1,0.0,0.7624113475177305,0.3191489361702128,1.0656028368794326,-1.241134751773043,-0.7092198581560294
F_all,Ridge,0.9,-0.05,0.0,0.7641843971631206,0.3120567375886525,1.0549645390070923,-1.0638297872340385,-1.4184397163120588
F_all,Ridge,0.9,-0.02,0.0,0.7712765957446808,0.3262411347517731,1.0460992907801419,-0.35460992907802025,0.0
F_all,Ridge,0.9,0.0,0.0,0.7712765957446808,0.3262411347517731,1.0443262411347518,-0.35460992907802025,0.0
F_all,Ridge,0.9,0.02,0.0,0.7712765957446808,0.3262411347517731,1.0372340425531914,-0.35460992907802025,0.0
F_all,Ridge,0.9,0.05,0.0,0.774822695035461,0.3262411347517731,1.0354609929078014,0.0,0.0
F_all,Ridge,0.9,0.1,0.0,0.7677304964539008,0.3120567375886525,1.0336879432624113,-0.7092198581560183,-1.4184397163120588
F_all,Ridge,0.95,-0.1,0.0,0.7641843971631206,0.3120567375886525,1.0585106382978722,-1.0638297872340385,-1.4184397163120588
F_all,Ridge,0.95,-0.05,0.0,0.7695035460992907,0.3262411347517731,1.0514184397163122,-0.5319148936170248,0.0
F_all,Ridge,0.95,-0.02,0.0,0.7712765957446808,0.3262411347517731,1.0443262411347518,-0.35460992907802025,0.0
F_all,Ridge,0.95,0.0,0.0,0.7712765957446808,0.3262411347517731,1.0390070921985815,-0.35460992907802025,0.0
F_all,Ridge,0.95,0.02,0.0,0.774822695035461,0.3262411347517731,1.0354609929078014,0.0,0.0
F_all,Ridge,0.95,0.05,0.0,0.7712765957446809,0.3262411347517731,1.0319148936170213,-0.35460992907800915,0.0
F_all,Ridge,0.95,0.1,0.0,0.7659574468085107,0.3049645390070922,1.0319148936170213,-0.8865248226950229,-2.127659574468088
F_all,Ridge,1.0,-0.1,0.0,0.7641843971631206,0.3120567375886525,1.0585106382978724,-1.0638297872340385,-1.4184397163120588
F_all,Ridge,1.0,-0.05,0.0,0.7730496453900708,0.3333333333333333,1.0425531914893618,-0.17730496453901567,0.7092198581560238
F_all,Ridge,1.0,-0.02,0.0,0.7712765957446808,0.3262411347517731,1.0390070921985817,-0.35460992907802025,0.0
F_all,Ridge,1.0,0.0,0.0,0.774822695035461,0.3262411347517731,1.0354609929078014,0.0,0.0
F_all,Ridge,1.0,0.0,0.01,0.7730496453900709,0.3262411347517731,1.0354609929078014,-0.17730496453900457,0.0
F_all,Ridge,1.0,0.0,0.03,0.7730496453900709,0.3262411347517731,1.0372340425531914,-0.17730496453900457,0.0
F_all,Ridge,1.0,0.0,0.05,0.7695035460992908,0.3120567375886525,1.0390070921985815,-0.5319148936170137,-1.4184397163120588
F_all,Ridge,1.0,0.02,0.0,0.7712765957446809,0.3262411347517731,1.0372340425531914,-0.35460992907800915,0.0
F_all,Ridge,1.0,0.05,0.0,0.7677304964539008,0.3191489361702128,1.0336879432624113,-0.7092198581560183,-0.7092198581560294
F_all,Ridge,1.0,0.1,0.0,0.7659574468085106,0.3049645390070922,1.0372340425531914,-0.886524822695034,-2.127659574468088
F_all,Ridge,1.05,-0.1,0.0,0.7659574468085106,0.3120567375886525,1.0531914893617023,-0.886524822695034,-1.4184397163120588
F_all,Ridge,1.05,-0.05,0.0,0.7712765957446808,0.3262411347517731,1.0460992907801419,-0.35460992907802025,0.0
F_all,Ridge,1.05,-0.02,0.0,0.774822695035461,0.3262411347517731,1.0336879432624113,0.0,0.0
F_all,Ridge,1.05,0.0,0.0,0.7730496453900709,0.3262411347517731,1.0354609929078014,-0.17730496453900457,0.0
F_all,Ridge,1.05,0.02,0.0,0.7677304964539008,0.3191489361702128,1.0336879432624113,-0.7092198581560183,-0.7092198581560294
F_all,Ridge,1.05,0.05,0.0,0.7677304964539008,0.3120567375886525,1.0301418439716312,-0.7092198581560183,-1.4184397163120588
F_all,Ridge,1.05,0.1,0.0,0.7624113475177304,0.2978723404255319,1.0425531914893615,-1.2411347517730542,-2.8368794326241176
