threshold,features,model,test_detections,acc_B1,mae_B1,rmse_B1,bias_B1,acc_B2,mae_B2,rmse_B2,bias_B2,acc_B3,mae_B3,rmse_B3,bias_B3,acc_B4,mae_B4,rmse_B4,bias_B4,macro,mae,rmse,joint,exact,total_mae,total_rmse,total_bias,total_acc
0.05,F0,ElasticNet,8807.0,0.9361702127659575,0.5390070921985816,0.8588298157855662,0.09929078014184398,0.7801418439716312,0.9858156028368794,1.456216802501099,-0.1347517730496454,0.48936170212765956,1.6170212765957446,2.0455799087595103,-0.014184397163120567,0.6950354609929078,1.177304964539007,1.575521978122203,0.09929078014184398,0.725177304964539,1.0797872340425532,1.4840371262920946,0.24113475177304963,0.014184397163120567,1.9219858156028369,2.3804761428476167,0.04964539007092199,0.44680851063829785
0.05,F0,Ridge,8807.0,0.9361702127659575,0.49645390070921985,0.8077637460938354,0.0851063829787234,0.7801418439716312,1.0070921985815602,1.477970623226513,-0.1702127659574468,0.5106382978723404,1.5886524822695036,2.0316642376308356,-0.014184397163120567,0.7021276595744681,1.1631205673758864,1.5664931245364144,0.11347517730496454,0.7322695035460993,1.0638297872340425,1.4709729328718995,0.2553191489361702,0.014184397163120567,1.8865248226950355,2.327754221629091,0.014184397163120567,0.4326241134751773
0.05,F_all,Ridge,8807.0,0.950354609929078,0.36879432624113473,0.7045948486252365,0.028368794326241134,0.8226950354609929,1.0070921985815602,1.4731642019671285,-0.1702127659574468,0.5602836879432624,1.5390070921985815,1.9911150160380486,-0.03546099290780142,0.7163120567375887,1.0780141843971631,1.525201998015926,-0.028368794326241134,0.7624113475177305,0.99822695035461,1.423519016161585,0.3475177304964539,0.03546099290780142,1.5815602836879432,2.1221560025810495,-0.20567375886524822,0.5673758865248227
0.1,F0,ElasticNet,5522.0,0.9574468085106383,0.44680851063829785,0.7485210003355033,0.0070921985815602835,0.7801418439716312,0.9787234042553191,1.4192196437349367,-0.1276595744680851,0.5531914893617021,1.5460992907801419,2.003542961147357,-0.028368794326241134,0.7092198581560284,1.1702127659574468,1.5956501154012874,0.09219858156028368,0.7500000000000001,1.0354609929078014,1.441733430154771,0.3262411347517731,0.014184397163120567,1.801418439716312,2.275369193018796,-0.05673758865248227,0.45390070921985815
0.1,F0,Ridge,5522.0,0.9574468085106383,0.4397163120567376,0.74376843799781,0.0,0.7730496453900709,0.9929078014184397,1.4390698335437384,-0.14184397163120568,0.5531914893617021,1.553191489361702,2.0053120943495752,-0.03546099290780142,0.7021276595744681,1.198581560283688,1.6351632533934424,0.06382978723404255,0.7464539007092199,1.0460992907801419,1.4558284048211416,0.3262411347517731,0.014184397163120567,1.8439716312056738,2.333839863966313,-0.11347517730496454,0.4326241134751773
0.1,F_all,Ridge,5522.0,0.9716312056737588,0.3829787234042553,0.6841674549282352,0.0,0.8297872340425532,0.9574468085106383,1.4066710362609018,-0.16312056737588654,0.574468085106383,1.5673758865248226,1.9875499012425015,-0.02127659574468085,0.723404255319149,1.1347517730496455,1.5574119284549022,-0.028368794326241134,0.774822695035461,1.0106382978723405,1.4089500802216353,0.3829787234042553,0.0070921985815602835,1.6595744680851063,2.2376532793490505,-0.2127659574468085,0.5319148936170213
0.15,F0,ElasticNet,3918.0,0.9716312056737588,0.425531914893617,0.6944562646748168,0.014184397163120567,0.7801418439716312,1.0425531914893618,1.4899188420945515,-0.1347517730496454,0.524822695035461,1.6312056737588652,2.0662777030446056,-0.09929078014184398,0.723404255319149,1.2056737588652482,1.6286443041694358,-0.028368794326241134,0.75,1.076241134751773,1.4698242784958524,0.2978723404255319,0.0070921985815602835,1.75177304964539,2.2675634437940664,-0.24822695035460993,0.475177304964539
0.15,F0,Ridge,3918.0,0.9716312056737588,0.44680851063829785,0.7293249574894728,0.02127659574468085,0.7730496453900709,1.0567375886524824,1.4994088669721177,-0.1347517730496454,0.5319148936170213,1.5886524822695036,2.0176525929444846,-0.09929078014184398,0.7163120567375887,1.1914893617021276,1.6286443041694358,0.014184397163120567,0.74822695035461,1.0709219858156027,1.4687576803938778,0.2765957446808511,0.0070921985815602835,1.8156028368794326,2.2847008898383985,-0.19858156028368795,0.44680851063829785
0.15,F_all,Ridge,3918.0,0.9787234042553191,0.3546099290780142,0.6523280730534422,0.028368794326241134,0.8226950354609929,0.9787234042553191,1.443989744762311,-0.15602836879432624,0.5177304964539007,1.6170212765957446,2.049044060112834,-0.15602836879432624,0.7092198581560284,1.1631205673758864,1.6155274921876708,0.028368794326241134,0.7570921985815603,1.0283687943262412,1.4402223425290646,0.2765957446808511,0.02127659574468085,1.702127659574468,2.228124549277306,-0.2553191489361702,0.475177304964539
0.2,F0,ElasticNet,3006.0,0.9432624113475178,0.41134751773049644,0.7244464749279004,0.014184397163120567,0.7801418439716312,1.0921985815602837,1.5111875936700947,-0.1276595744680851,0.48936170212765956,1.6099290780141844,2.026421224406072,-0.10638297872340426,0.6879432624113475,1.2624113475177305,1.6843038421330379,-0.028368794326241134,0.725177304964539,1.0939716312056738,1.4865897837842763,0.2553191489361702,0.0,1.822695035460993,2.3170658873327565,-0.24822695035460993,0.48226950354609927
